group_id,id,total.minutes,date_arrive,id_count,date
2018-07-30_4,1007_2523,24.0,30/07/2018,2,2018-07-30
2018-07-30_7,1030_1116_1124,556.3333333333334,30/07/2018,3,2018-07-30
2018-07-30_9,2030_2031,523.5,30/07/2018,2,2018-07-30
2018-07-31_10,1006_1032,43.0,31/07/2018,2,2018-07-31
2018-07-31_11,1016_1035_3077_3117,31.0,31/07/2018,4,2018-07-31
2018-07-31_1103,1103,109.0,31/07/2018,1,2018-07-31
2018-07-31_1124,1124,13.0,31/07/2018,1,2018-07-31
2018-07-31_12,3077_3117,98.0,31/07/2018,2,2018-07-31
2018-07-31_13,1016_1035_1116_1120_1121_3041,91.0,31/07/2018,6,2018-07-31
2018-07-31_2,1006_1032,104.0,31/07/2018,2,2018-07-31
2018-07-31_2038,2038,63.0,31/07/2018,1,2018-07-31
2018-07-31_2523,2523,69.0,31/07/2018,1,2018-07-31
2018-07-31_3,1007_2523,25.0,31/07/2018,2,2018-07-31
2018-07-31_3076,3076,2.0,31/07/2018,1,2018-07-31
2018-07-31_4,1010_1102_2030_2031,307.0,31/07/2018,4,2018-07-31
2018-07-31_5,1010_2539_2544,22.0,31/07/2018,3,2018-07-31
2018-07-31_6,1008_1016_3117,31.0,31/07/2018,3,2018-07-31
2018-07-31_8,1102_1121,238.5,31/07/2018,2,2018-07-31
2018-08-01_10,1010_1030_2539,16.0,01/08/2018,3,2018-08-01
2018-08-01_11,1116_1124,326.0,01/08/2018,2,2018-08-01
2018-08-01_1101,1101,153.0,01/08/2018,1,2018-08-01
2018-08-01_1103,1103,35.0,01/08/2018,1,2018-08-01
2018-08-01_1122,1122,240.0,01/08/2018,1,2018-08-01
2018-08-01_1124,1124,74.5,01/08/2018,1,2018-08-01
2018-08-01_12,1008_1010_1011_1030_1031_2523_2539,2.0,01/08/2018,7,2018-08-01
2018-08-01_14,1010_1030_2523_2539,1.0,01/08/2018,4,2018-08-01
2018-08-01_15,1008_1031,23.0,01/08/2018,2,2018-08-01
2018-08-01_17,1115_1120,53.0,01/08/2018,2,2018-08-01
2018-08-01_18,1006_1032,19.0,01/08/2018,2,2018-08-01
2018-08-01_2,1006_1032,21.0,01/08/2018,2,2018-08-01
2018-08-01_2030,2030,421.0,01/08/2018,1,2018-08-01
2018-08-01_3,1010_2539,22.0,01/08/2018,2,2018-08-01
2018-08-01_3040,3040,359.0,01/08/2018,1,2018-08-01
2018-08-01_4,1007_2523,25.0,01/08/2018,2,2018-08-01
2018-08-01_5,1016_1035_1102_1121_3117,437.0,01/08/2018,5,2018-08-01
2018-08-01_6,1006_1032,16.0,01/08/2018,2,2018-08-01
2018-08-01_8,1006_1009_1103_1104,391.0,01/08/2018,4,2018-08-01
2018-08-01_9,2038_2039_2513,561.6666666666666,01/08/2018,3,2018-08-01
2018-08-02_1,1006_1032,17.0,02/08/2018,2,2018-08-02
2018-08-02_10,2030_3142,463.5,02/08/2018,2,2018-08-02
2018-08-02_1006,1006,16.0,02/08/2018,1,2018-08-02
2018-08-02_11,3040_3041,334.5,02/08/2018,2,2018-08-02
2018-08-02_1101,1101,76.0,02/08/2018,1,2018-08-02
2018-08-02_1124,1124,95.5,02/08/2018,1,2018-08-02
2018-08-02_12,1007_1008_1010_1011_1016_1035_2513_2523_2544_3077_3117_3118_3119,51.30769230769231,02/08/2018,13,2018-08-02
2018-08-02_14,1008_1011_1016_1031_1035_1102_3117_3119,24.11111111111111,02/08/2018,8,2018-08-02
2018-08-02_3,1121_3041_3077,58.0,02/08/2018,3,2018-08-02
2018-08-02_3040,3040,65.0,02/08/2018,1,2018-08-02
2018-08-02_4,1035_3117,27.0,02/08/2018,2,2018-08-02
