group_id,kcal,type,date,group_size,forager_ids
2018-07-28_1103,3736.210866125,foraging,2018-07-28,1,{'1103'}
2018-07-28_1103_1104,9652.5,foraging,2018-07-28,2,"{'1104', '1103'}"
2018-07-28_1104,1184.46456062,foraging,2018-07-28,1,{'1104'}
2018-07-28_1115,217.51237575,foraging,2018-07-28,1,{'1115'}
2018-07-28_1116,24.5,foraging,2018-07-28,1,{'1116'}
2018-07-28_1120_3076,398.808,foraging,2018-07-28,2,"{'1120', '3076'}"
2018-07-28_1121,1298.8448930752083,foraging,2018-07-28,1,{'1121'}
2018-07-28_1121_1122,15552.0,foraging,2018-07-28,2,"{'1121', '1122'}"
2018-07-28_1122_3077,28382.399999999998,foraging,2018-07-28,2,"{'1122', '3077'}"
2018-07-28_2038,751.13976375,foraging,2018-07-28,1,{'2038'}
2018-07-28_2055,6842.0,foraging,2018-07-28,1,{'2055'}
2018-07-28_3004,5598.0,foraging,2018-07-28,1,{'3004'}
2018-07-28_3040,4202.34420675,foraging,2018-07-28,1,{'3040'}
2018-07-28_3076,33.3720000243,foraging,2018-07-28,1,{'3076'}
2018-07-28_3077,1145.8611666666666,foraging,2018-07-28,1,{'3077'}
2018-07-28_3117,56.19318175,foraging,2018-07-28,1,{'3117'}
2018-07-29_1007_1008_1122_2523,126.28440000000002,foraging,2018-07-29,4,"{'1008', '1007', '1122', '2523'}"
2018-07-29_1010,5796.214285399999,foraging,2018-07-29,1,{'1010'}
2018-07-29_1016,1050.0,foraging,2018-07-29,1,{'1016'}
2018-07-29_1016_3117,157.5,foraging,2018-07-29,2,"{'1016', '3117'}"
2018-07-29_1101,14100.66,foraging,2018-07-29,1,{'1101'}
2018-07-29_1102,485.571428925,foraging,2018-07-29,1,{'1102'}
2018-07-29_1104_1121_1122,3887.5,foraging,2018-07-29,3,"{'1104', '1121', '1122'}"
2018-07-29_1110,1614.72,foraging,2018-07-29,1,{'1110'}
2018-07-29_1116_1120,1666.0,foraging,2018-07-29,2,"{'1120', '1116'}"
2018-07-29_1120,1190.0,foraging,2018-07-29,1,{'1120'}
2018-07-29_1121,4210.469488125,foraging,2018-07-29,1,{'1121'}
2018-07-29_1122,596.2171875,foraging,2018-07-29,1,{'1122'}
2018-07-29_1124,18759.6,foraging,2018-07-29,1,{'1124'}
2018-07-29_2031,2401.9962260416664,foraging,2018-07-29,1,{'2031'}
2018-07-29_2039,2417.8125,foraging,2018-07-29,1,{'2039'}
2018-07-29_2539,250.37992125000002,foraging,2018-07-29,1,{'2539'}
2018-07-29_2544,496.84765625,foraging,2018-07-29,1,{'2544'}
2018-07-29_3040,500.75984250000005,foraging,2018-07-29,1,{'3040'}
2018-07-29_3040_3041,186.0,foraging,2018-07-29,2,"{'3040', '3041'}"
2018-07-29_3040_3041_3077,17227.348484666665,foraging,2018-07-29,3,"{'3040', '3041', '3077'}"
2018-07-29_3041,1824.5714299,foraging,2018-07-29,1,{'3041'}
2018-07-29_3077,1082.997845125,foraging,2018-07-29,1,{'3077'}
2018-07-29_3117,3488.07995275,foraging,2018-07-29,1,{'3117'}
2018-07-30_1007_1035_1103_2513_2523_2544,18761.914285714287,foraging,2018-07-30,6,"{'2544', '2523', '1035', '1007', '1103', '2513'}"
2018-07-30_1008_1009_1011_1031_2539,54.513005615675,foraging,2018-07-30,5,"{'2539', '1009', '1031', '1008', '1011'}"
2018-07-30_1010_1011_1101_2539,6237.0,foraging,2018-07-30,4,"{'1101', '1010', '2539', '1011'}"
2018-07-30_1028_2055,1574.6886666666667,foraging,2018-07-30,2,"{'1028', '2055'}"
2018-07-30_1032,794.95625,foraging,2018-07-30,1,{'1032'}
2018-07-30_1035,1370.2,foraging,2018-07-30,1,{'1035'}
2018-07-30_1102,1943.9333333333334,foraging,2018-07-30,1,{'1102'}
2018-07-30_1104,1429.7464566666665,foraging,2018-07-30,1,{'1104'}
2018-07-30_1106,2117.5,foraging,2018-07-30,1,{'1106'}
2018-07-30_1115,1079.9187878736334,foraging,2018-07-30,1,{'1115'}
2018-07-30_1115_1120,4879.0,foraging,2018-07-30,2,"{'1120', '1115'}"
2018-07-30_1116_1124,1375.878,foraging,2018-07-30,2,"{'1124', '1116'}"
2018-07-30_1120,1845.0,foraging,2018-07-30,1,{'1120'}
2018-07-30_1121,918.12275,foraging,2018-07-30,1,{'1121'}
