group_id,total.minutes,kcal
2018-08-05_6,80.0,5236.0
2018-08-05_7,432.0,0.0
2018-08-05_8,42.0,0.0
2018-08-05_9,382.0,0.0
2018-08-06_1,89.0,500.75984250000005
2018-08-06_10,189.0,797.616
2018-08-06_1032,13.0,199.404
2018-08-06_11,226.66666666666666,28767.5
2018-08-06_1101,142.0,1121.6475
2018-08-06_1119,5.0,1161.4455
2018-08-06_1122,157.0,0.0
2018-08-06_1124,54.0,1046.871
2018-08-06_12,440.5,0.0
2018-08-06_13,365.25,0.0
2018-08-06_14,75.0,0.0
2018-08-06_15,6.0,0.0
2018-08-06_16,23.0,0.0
2018-08-06_17,15.0,0.0
2018-08-06_18,293.0,0.0
2018-08-06_19,3.0,0.0
2018-08-06_2,31.0,2673.0
2018-08-06_20,92.8,0.0
2018-08-06_2030,202.0,2856.520265083333
2018-08-06_2031,151.0,235.42857160000003
2018-08-06_21,190.0,0.0
2018-08-06_22,158.0,0.0
2018-08-06_23,166.66666666666666,0.0
2018-08-06_24,62.0,0.0
2018-08-06_25,174.4,0.0
2018-08-06_3,48.0,6586.607142499999
2018-08-06_3076,104.0,0.0
2018-08-06_4,62.0,61.25
2018-08-06_5,9.0,117.71428580000001
2018-08-06_7,192.5,299.106
2018-08-06_8,145.0,174.47850000000003
2018-08-06_9,122.0,408.18995820000004
2018-08-07_1,37.0,714.0
2018-08-07_10,508.3333333333333,3018.75
2018-08-07_11,4.2,262.5
2018-08-07_1101,60.0,0.0
2018-08-07_1103,64.0,0.0
2018-08-07_1115,351.0,5871.013802174999
2018-08-07_1124,37.0,1866.0
2018-08-07_12,351.0,0.0
2018-08-07_15,42.0,0.0
2018-08-07_16,51.0,0.0
2018-08-07_17,51.0,0.0
2018-08-07_18,1.0,0.0
2018-08-07_19,108.5,0.0
2018-08-07_2,185.0,353.1428574
2018-08-07_20,45.666666666666664,0.0
2018-08-07_2030,423.0,2044.0247916666667
2018-08-07_3,32.0,112.3863635
2018-08-07_3076,335.0,5656.40387725
2018-08-07_3142,211.0,4325.2055399500005
2018-08-07_4,87.0,2709.344
2018-08-07_7,377.4,5236.0
