id,date,total.minutes
1031,2018-08-18,38.0
1031,2018-08-19,206.0
1031,2018-08-20,0.0
1031,2018-08-21,0.0
1031,2018-08-22,326.0
1031,2018-08-23,0.0
1031,2018-08-24,0.0
1031,2018-08-25,163.0
1031,2018-08-26,0.0
1031,2018-08-27,0.0
1031,2018-08-28,495.0
1031,2018-08-29,190.0
1031,2018-08-30,0.0
1031,2018-08-31,324.0
1031,2018-09-01,125.0
1031,2018-09-02,188.0
1032,2018-07-23,120.0
1032,2018-07-24,130.0
1032,2018-07-25,217.0
1032,2018-07-26,167.0
1032,2018-07-27,91.0
1032,2018-07-28,135.0
1032,2018-07-29,136.0
1032,2018-07-30,350.0
1032,2018-07-31,147.0
1032,2018-08-01,53.0
1032,2018-08-02,17.0
1032,2018-08-03,267.0
1032,2018-08-04,296.0
1032,2018-08-05,60.0
1032,2018-08-06,413.0
1032,2018-08-07,334.0
1032,2018-08-08,0.0
1032,2018-08-09,169.0
1032,2018-08-10,358.0
1032,2018-08-11,103.0
1032,2018-08-12,308.0
1032,2018-08-13,143.0
1032,2018-08-14,190.0
1032,2018-08-15,196.0
1032,2018-08-16,114.0
1032,2018-08-17,0.0
1032,2018-08-18,214.0
1032,2018-08-19,
1032,2018-08-20,137.0
1032,2018-08-21,278.0
1032,2018-08-22,144.0
1032,2018-08-23,371.0
1032,2018-08-24,449.0
1032,2018-08-25,2.0
1032,2018-08-26,157.0
1032,2018-08-27,174.0
1032,2018-08-28,262.0
1032,2018-08-29,281.0
1032,2018-08-30,72.0
1032,2018-08-31,324.0
1032,2018-09-01,24.0
1032,2018-09-02,0.0
1035,2018-07-23,
1035,2018-07-24,
1035,2018-07-25,
1035,2018-07-26,
1035,2018-07-27,
1035,2018-07-28,
1035,2018-07-29,0.0
1035,2018-07-30,0.0
1035,2018-07-31,132.0
1035,2018-08-01,435.0
1035,2018-08-02,93.0
1035,2018-08-03,435.0
1035,2018-08-04,0.0
1035,2018-08-05,0.0
1035,2018-08-06,263.0
1035,2018-08-07,87.0
1035,2018-08-08,37.0
1035,2018-08-09,0.0
1035,2018-08-10,102.0
1035,2018-08-11,467.0
1035,2018-08-12,409.0
1035,2018-08-13,154.0
1035,2018-08-14,502.0
1035,2018-08-15,0.0
1035,2018-08-16,67.0
1035,2018-08-17,335.0
1035,2018-08-18,0.0
1035,2018-08-19,0.0
1035,2018-08-20,299.0
1035,2018-08-21,224.0
1035,2018-08-22,464.0
1035,2018-08-23,484.0
1035,2018-08-24,125.0
1035,2018-08-25,182.0
1035,2018-08-26,184.0
1035,2018-08-27,484.0
