date,pooled_group,net_food_weight_gram,gift,anon_id,kcal
05.08.18,5.0,100.0,0.0,P024,22.4772727
05.08.18,5.0,100.0,0.0,P063,22.4772727
05.08.18,5.0,100.0,0.0,P016,22.4772727
05.08.18,5.0,100.0,0.0,P037,22.4772727
05.08.18,5.0,100.0,0.0,P005,22.4772727
05.08.18,5.0,100.0,0.0,P025,22.4772727
05.08.18,5.0,100.0,0.0,P056,22.4772727
05.08.18,5.0,100.0,0.0,P051,22.4772727
05.08.18,5.0,100.0,0.0,P049,22.4772727
05.08.18,5.0,100.0,0.0,P027,22.4772727
05.08.18,5.0,100.0,0.0,P043,22.4772727
05.08.18,5.0,100.0,0.0,P052,22.4772727
05.08.18,5.0,100.0,0.0,P008,22.4772727
05.08.18,5.0,100.0,0.0,P072,22.4772727
05.08.18,6.0,4400.0,0.0,P040,5236.0
05.08.18,6.0,4400.0,0.0,P036,5236.0
06.08.18,1.0,500.0,0.0,P014,500.75984250000005
06.08.18,1.0,500.0,0.0,P061,500.75984250000005
06.08.18,10.0,1600.0,0.0,P028,797.616
06.08.18,10.0,1600.0,0.0,P020,797.616
06.08.18,11.0,9250.0,0.0,P005,28767.5
06.08.18,11.0,9250.0,0.0,P042,28767.5
06.08.18,2.0,900.0,0.0,P017,2673.0
06.08.18,2.0,900.0,0.0,P027,2673.0
06.08.18,3.0,1250.0,0.0,P017,6586.607142499999
06.08.18,3.0,1250.0,0.0,P027,6586.607142499999
06.08.18,4.0,500.0,0.0,P027,61.25
06.08.18,4.0,500.0,0.0,P017,61.25
06.08.18,5.0,200.0,0.0,P052,117.71428580000001
06.08.18,5.0,200.0,0.0,P016,117.71428580000001
06.08.18,5.0,200.0,0.0,P025,117.71428580000001
06.08.18,6.0,300.0,0.0,P020,149.553
06.08.18,6.0,300.0,0.0,P074,149.553
06.08.18,7.0,600.0,0.0,P029,299.106
06.08.18,7.0,600.0,0.0,P014,299.106
06.08.18,8.0,350.0,0.0,P051,174.4785
06.08.18,8.0,350.0,0.0,P057,174.4785
